nur,titulo,dimensionescm,estilo,ano,imagen,id_coleccionista,id_organizacion,id_pintura,id_artista,id,nombre,apellido,nombreArtistico,id,dni,nombre,segundoNombre,apellido,segundoApellido,telefono,email,fechaNacimiento,id_pais_nacio,id_pais_reside,id,nombre,proposito,fundacion,alcance,tipo,telefonoPrincipal,paginaWeb,emailCorporativo,id_pais
10020,"Meules, milieu du jour","65.6 x 100.6",impresionismo,1890,NULL,NULL,1,10020,18,18,Claude," Monet",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"Saatchi Gallery","Saatchi Gallery existe como una organización benéfica registrada para proporcionar una plataforma innovadora para el arte y la cultura contemporáneos. Estamos comprometidos a apoyar a los caj_artistas y hacer que el arte contemporáneo sea accesible para todos. Nos esforzamos por presentar proyectos en espacios físicos y digitales que sean atractivos, esclarecedores y educativos para diversos públicos.",1985,internacional,galeria,"+44 20 78113070",https://www.saatchigallery.com/,admin@saatchigallery.com,36
10021,"Buffalo II","243.8 x 183.8",postguerra,1864,NULL,NULL,1,10021,19,19,Robert," Rauschenberg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"Saatchi Gallery","Saatchi Gallery existe como una organización benéfica registrada para proporcionar una plataforma innovadora para el arte y la cultura contemporáneos. Estamos comprometidos a apoyar a los caj_artistas y hacer que el arte contemporáneo sea accesible para todos. Nos esforzamos por presentar proyectos en espacios físicos y digitales que sean atractivos, esclarecedores y educativos para diversos públicos.",1985,internacional,galeria,"+44 20 78113070",https://www.saatchigallery.com/,admin@saatchigallery.com,36
10022,"Bouilloire Et Fruits","48.6 x 60","nature morte",1890,NULL,NULL,1,10022,20,20,Paul," Cezanne",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"Saatchi Gallery","Saatchi Gallery existe como una organización benéfica registrada para proporcionar una plataforma innovadora para el arte y la cultura contemporáneos. Estamos comprometidos a apoyar a los caj_artistas y hacer que el arte contemporáneo sea accesible para todos. Nos esforzamos por presentar proyectos en espacios físicos y digitales que sean atractivos, esclarecedores y educativos para diversos públicos.",1985,internacional,galeria,"+44 20 78113070",https://www.saatchigallery.com/,admin@saatchigallery.com,36
10023,"Femme au Chien","162 × 130",expresionismo,1962,NULL,NULL,2,10023,21,21,Pablo,Picasso,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Christie's,"Christie's se dedica a promover la cultura responsable en sus empresas y comunidades en todo el mundo, incluido el logro de la sostenibilidad a través de emisiones netas de carbono cero para 2030, y el uso activo de su plataforma en el mundo del arte para amplificar las voces subrepresentadas y apoyar un cambio positivo.",1976,internacional,tienda,"+1 212 6362000",https://www.christies.com/,info@christies.com,23
10024,"Double Elvis","210.8 x 134.6",postguerra,1963,NULL,NULL,2,10024,22,22,Andy,Warhol,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Christie's,"Christie's se dedica a promover la cultura responsable en sus empresas y comunidades en todo el mundo, incluido el logro de la sostenibilidad a través de emisiones netas de carbono cero para 2030, y el uso activo de su plataforma en el mundo del arte para amplificar las voces subrepresentadas y apoyar un cambio positivo.",1976,internacional,tienda,"+1 212 6362000",https://www.christies.com/,info@christies.com,23
10025,"Hurting the Word Radio #2","150 x 140.3 ",potguerra,1964,NULL,NULL,2,10025,23,23,Ed,Ruscha,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Christie's,"Christie's se dedica a promover la cultura responsable en sus empresas y comunidades en todo el mundo, incluido el logro de la sostenibilidad a través de emisiones netas de carbono cero para 2030, y el uso activo de su plataforma en el mundo del arte para amplificar las voces subrepresentadas y apoyar un cambio positivo.",1976,internacional,tienda,"+1 212 6362000",https://www.christies.com/,info@christies.com,23
10026,"Study for a Head","66 x 56",expresionismo,1952,NULL,NULL,3,10026,24,24,Francis,Bacon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,Merc&Cia,"La tienda en  el centro Barcelona  es el lugar ideal para quienes buscan maravillarse  con objetos de decoración, muebles y piezas de arte, 
desde ​artículos antiguos traídos de todo el mundo hasta cualquier tipo de mueble hecho a medida diseñado por ti mismo. ​

Mesas de comedor de madera maciza natural reciclada, antiguos mesas de centro indias, espejos industriales, lámparas  y distintos objetos con personalidad propia, mezclando diferentes estilos, inglés, nórdico, provenzal y colonial y más.",1976,nacional,tienda,"+34 934 877687",https://www.mercncia.com/,mercandcia@gmail.com,22
10027,"Untitled (Black on Gray)","203,3 × 175,5","expresionismo abstracto",1970,NULL,NULL,3,10027,25,25,Mark,Rothko,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,Merc&Cia,"La tienda en  el centro Barcelona  es el lugar ideal para quienes buscan maravillarse  con objetos de decoración, muebles y piezas de arte, 
desde ​artículos antiguos traídos de todo el mundo hasta cualquier tipo de mueble hecho a medida diseñado por ti mismo. ​

Mesas de comedor de madera maciza natural reciclada, antiguos mesas de centro indias, espejos industriales, lámparas  y distintos objetos con personalidad propia, mezclando diferentes estilos, inglés, nórdico, provenzal y colonial y más.",1976,nacional,tienda,"+34 934 877687",https://www.mercncia.com/,mercandcia@gmail.com,22
10028,"A Watershed Moment for David Hockney","213.4 x 304.8",postimpresionismo,1969,NULL,NULL,3,10028,26,26,Henry,Geldzahler,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,Merc&Cia,"La tienda en  el centro Barcelona  es el lugar ideal para quienes buscan maravillarse  con objetos de decoración, muebles y piezas de arte, 
desde ​artículos antiguos traídos de todo el mundo hasta cualquier tipo de mueble hecho a medida diseñado por ti mismo. ​

Mesas de comedor de madera maciza natural reciclada, antiguos mesas de centro indias, espejos industriales, lámparas  y distintos objetos con personalidad propia, mezclando diferentes estilos, inglés, nórdico, provenzal y colonial y más.",1976,nacional,tienda,"+34 934 877687",https://www.mercncia.com/,mercandcia@gmail.com,22
10028,"A Watershed Moment for David Hockney","213.4 x 304.8",postimpresionismo,1969,NULL,NULL,3,10028,27,27,Christopher,Scott,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,Merc&Cia,"La tienda en  el centro Barcelona  es el lugar ideal para quienes buscan maravillarse  con objetos de decoración, muebles y piezas de arte, 
desde ​artículos antiguos traídos de todo el mundo hasta cualquier tipo de mueble hecho a medida diseñado por ti mismo. ​

Mesas de comedor de madera maciza natural reciclada, antiguos mesas de centro indias, espejos industriales, lámparas  y distintos objetos con personalidad propia, mezclando diferentes estilos, inglés, nórdico, provenzal y colonial y más.",1976,nacional,tienda,"+34 934 877687",https://www.mercncia.com/,mercandcia@gmail.com,22
